Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
47794,833.459,279.6545564,217.918565,1.283298448,0.626723197,48528,246.6844357,0.738131274,0.984874712,0.864599066,0.882104118,0.005851248,0.002185283,0.778107674,0.998544371,BARBUNYA
47883,873.536,327.9986493,186.5201272,1.758516115,0.822571799,48753,246.9140116,0.758446454,0.982154944,0.788550662,0.752789721,0.006850002,0.001356954,0.566692364,0.996537653,BARBUNYA
47940,854.752,284.1537887,215.1572513,1.320679582,0.653199406,48828,247.0609313,0.760107817,0.981813713,0.824570213,0.869462035,0.00592728,0.002089477,0.75596423,0.998386523,BARBUNYA
47981,809.088,291.6539681,210.0431569,1.388543061,0.693787968,48451,247.1665564,0.769777478,0.990299478,0.9210594,0.84746509,0.00607853,0.001934041,0.718197079,0.997247571,BARBUNYA
48160,829.234,304.5282824,202.7155129,1.502244589,0.746245739,48950,247.6271723,0.754043433,0.983861083,0.880120509,0.813149998,0.006323262,0.001705311,0.66121292,0.993303531,BARBUNYA
48165,824.701,310.0210088,198.2599821,1.563709456,0.768786946,48758,247.6400264,0.806905564,0.987837893,0.889914711,0.798784661,0.006436645,0.001616435,0.638056935,0.997735662,BARBUNYA
48439,810.37,297.981992,207.3178381,1.4373196,0.718294206,48883,248.343412,0.79979856,0.990917088,0.926911612,0.833417518,0.006151696,0.001830733,0.694584759,0.998340287,BARBUNYA
48638,874.666,303.607016,204.6563236,1.483496872,0.738655623,49543,248.8530188,0.776865576,0.98173304,0.798915933,0.819655033,0.006242177,0.001737962,0.671834374,0.996664192,BARBUNYA
48638,874.041,301.9839706,205.4110154,1.470144968,0.733021909,49596,248.8530188,0.747747748,0.980683926,0.800058902,0.824060358,0.006208807,0.001766136,0.679075473,0.998339389,BARBUNYA
48831,871.27,318.9514291,195.5799615,1.630798098,0.78993026,49662,249.3462657,0.789009355,0.983266884,0.808350965,0.781768768,0.006531741,0.00150495,0.611162406,0.996682489,BARBUNYA
48868,885.296,313.6299142,198.9725576,1.576247086,0.772989921,49648,249.4407145,0.695877536,0.984289397,0.78353324,0.795334575,0.0064179,0.001584062,0.632557086,0.997066264,BARBUNYA
48915,894.486,310.0875693,201.7558508,1.53694462,0.759385013,50027,249.5606386,0.708656284,0.977772003,0.768253994,0.804806975,0.006339315,0.001640548,0.647714267,0.995500957,BARBUNYA
49166,856.332,293.7755666,214.1688826,1.371700515,0.684490151,50168,250.2001108,0.775978535,0.980027109,0.84253974,0.851670933,0.005975177,0.001939179,0.725343378,0.994953885,BARBUNYA
49309,867.448,304.0723235,206.8129106,1.470277279,0.733078706,50235,250.5637019,0.778456632,0.981566637,0.823472611,0.824026663,0.00616667,0.001753862,0.679019941,0.998347591,BARBUNYA
49317,886.931,310.5630747,202.4588914,1.533956215,0.758297131,50400,250.5840271,0.713085599,0.978511905,0.787819715,0.806869997,0.006297282,0.001646445,0.651039191,0.998665614,BARBUNYA
49755,868.813,332.0911112,191.9920823,1.729712534,0.81594414,50783,251.6943256,0.734282763,0.979757005,0.828312039,0.757907445,0.006674527,0.001358517,0.574423695,0.993587866,BARBUNYA
49777,861.277,300.7570338,211.6168613,1.42123379,0.710582389,50590,251.7499649,0.801910654,0.98392963,0.843243269,0.837054288,0.006042088,0.001829706,0.700659882,0.995801499,BARBUNYA
49967,878.754,313.3752665,203.3398832,1.541140191,0.760899084,50787,252.2299751,0.740120275,0.983854136,0.813127239,0.804881565,0.006271645,0.001623638,0.647834334,0.99840353,BARBUNYA
49975,873.529,313.9996922,203.9382858,1.539679962,0.760373872,50699,252.250166,0.714796539,0.985719639,0.823015495,0.803345265,0.006283135,0.001614229,0.645363615,0.993653426,BARBUNYA
49991,911.824,329.2584334,193.819678,1.698787433,0.808384249,51285,252.290543,0.737417394,0.974768451,0.755578602,0.766238667,0.006586354,0.001400494,0.587121694,0.997394956,BARBUNYA
50035,846.474,279.4366973,228.683881,1.221934384,0.574685217,50802,252.4015464,0.806391826,0.984902169,0.877518987,0.903251251,0.005584825,0.002293103,0.815862822,0.996930835,BARBUNYA
50166,893.846,313.0215817,204.6558146,1.529502508,0.756661043,51209,252.7317451,0.7625171,0.979632486,0.789030763,0.807393994,0.006239716,0.001635636,0.651885062,0.997059837,BARBUNYA
50167,873.825,309.8928256,206.7723679,1.498714885,0.744844297,50937,252.7342641,0.794598875,0.984883287,0.82561783,0.815553776,0.006177225,0.001685713,0.665127961,0.996837177,BARBUNYA
50486,982.666,325.5099201,198.5238286,1.639651634,0.79248943,51525,253.5365292,0.799942959,0.979835032,0.657005443,0.778890331,0.006447528,0.001463788,0.606670147,0.994727698,BARBUNYA
50575,858.52,314.32679,205.4662817,1.529821766,0.756778917,51389,253.7599062,0.712123346,0.984160034,0.862273267,0.807312371,0.006215063,0.001628515,0.651753265,0.997066331,BARBUNYA
50683,905.491,314.9375832,205.4562108,1.532869617,0.757899604,51613,254.0307065,0.769883947,0.981981284,0.776790492,0.806606515,0.00621387,0.001622515,0.650614071,0.997306541,BARBUNYA
50712,877.164,316.2129384,204.4654138,1.546535096,0.76282353,51454,254.1033723,0.717538026,0.985579352,0.828245346,0.803583097,0.006235466,0.00160388,0.645745793,0.998668533,BARBUNYA
50798,900.901,308.3940575,210.467044,1.465284311,0.730921624,52164,254.3187417,0.738622154,0.973813358,0.786506543,0.824655131,0.006070988,0.001731923,0.680056084,0.996475511,BARBUNYA
50948,884.692,313.5564944,208.1921879,1.506091547,0.747758979,52063,254.6939503,0.71960452,0.978583639,0.817999059,0.812274518,0.006154442,0.001652646,0.659789892,0.99370398,BARBUNYA
50978,881.559,323.1062346,201.1006885,1.606688853,0.782700884,51805,254.7689257,0.70891392,0.98403629,0.824308712,0.788498947,0.00633815,0.001511286,0.621730589,0.998927607,BARBUNYA
51015,859.253,327.8575096,198.507869,1.651609638,0.795868169,51718,254.861365,0.777418814,0.986407054,0.868291682,0.777354056,0.006426688,0.00144758,0.604279329,0.998033563,BARBUNYA
51107,886.653,317.3603439,206.2492209,1.538722631,0.760028532,51979,255.0910689,0.715884578,0.983223994,0.816926298,0.803789994,0.006209724,0.001598904,0.646078354,0.994135385,BARBUNYA
51332,889.637,330.8228042,198.618899,1.66561594,0.799715985,52283,255.651975,0.75168768,0.981810531,0.815027712,0.772776156,0.006444767,0.001417757,0.597182987,0.994677503,BARBUNYA
51512,887.745,276.6573221,237.6136081,1.164315984,0.512187978,52436,256.0998154,0.742119518,0.982378519,0.821375617,0.925693249,0.005370735,0.002432663,0.856907992,0.997711672,BARBUNYA
51576,861.13,310.8525301,211.4262215,1.470264795,0.733073347,52274,256.2588589,0.783948928,0.986647282,0.874017407,0.824374371,0.006027077,0.001717056,0.679593103,0.999181814,BARBUNYA
51674,910.012,318.8858574,206.9663203,1.540762077,0.760763263,52718,256.5022032,0.797721413,0.980196517,0.784129344,0.804369956,0.006171108,0.001593552,0.647011026,0.996890053,BARBUNYA
51693,834.877,304.3503037,216.7960052,1.403855681,0.701850849,52208,256.5493555,0.776450973,0.990135611,0.931958572,0.84294102,0.00588765,0.001833625,0.710549564,0.997509042,BARBUNYA
51695,880.771,306.3289695,216.056113,1.417821349,0.708901517,52714,256.5543184,0.773483556,0.980669272,0.837398908,0.837512426,0.005925698,0.001798392,0.701427063,0.994498265,BARBUNYA
51734,878.392,319.9387591,206.311128,1.550758615,0.764312792,52632,256.6510756,0.746522367,0.982938136,0.842576184,0.802188132,0.006184304,0.001579703,0.643505799,0.997922163,BARBUNYA
51782,858.661,311.3287503,212.4263601,1.465584356,0.731052055,52581,256.7701114,0.713663552,0.984804397,0.882561968,0.824755539,0.006012297,0.001716015,0.6802217,0.996922282,BARBUNYA
51906,896.485,327.3825036,202.8131801,1.61420724,0.784997333,52774,257.0773654,0.776327007,0.983552507,0.811598754,0.785250777,0.006307219,0.001479283,0.616618783,0.995350504,BARBUNYA
51932,897.618,313.7611961,211.334637,1.484665271,0.739139388,52906,257.1417431,0.726402954,0.98158999,0.809956708,0.819546032,0.00604177,0.00168127,0.671655698,0.997183889,BARBUNYA
52104,906.358,316.9151109,209.6040912,1.511970063,0.750043274,53108,257.5672208,0.774113033,0.981095127,0.797042325,0.812732533,0.006082357,0.001636976,0.66053417,0.998707891,BARBUNYA
52184,888.581,332.9882035,200.1934012,1.663332565,0.799096574,53114,257.7648781,0.678154646,0.982490492,0.830525907,0.774096125,0.00638104,0.001413354,0.599224811,0.996710142,BARBUNYA
52187,975.927,311.1939098,215.7707987,1.442242935,0.720587066,53664,257.7722873,0.709043233,0.972476893,0.688553245,0.828333329,0.005963054,0.001731686,0.686136104,0.989574948,BARBUNYA
52341,904.349,289.7805138,230.4202782,1.257617238,0.6064069,53407,258.1523407,0.765723063,0.98004007,0.804229046,0.890854728,0.005536396,0.002150971,0.793622146,0.998072891,BARBUNYA
52545,911.562,315.9159221,212.1152663,1.489359666,0.741068445,53754,258.6549282,0.748248462,0.977508651,0.794637096,0.818746097,0.006012293,0.001666544,0.670345171,0.99838506,BARBUNYA
52596,887.942,312.6866807,214.5149593,1.457645106,0.727565667,53574,258.7804225,0.752920293,0.981744876,0.838288258,0.82760296,0.005945066,0.001720381,0.68492666,0.998379994,BARBUNYA
52655,915.993,310.9966465,216.5300928,1.436274481,0.717803496,53696,258.9255264,0.740951818,0.980613081,0.788615251,0.83256694,0.005906308,0.001750542,0.69316771,0.995579093,BARBUNYA
52808,928.664,332.5824783,202.7321462,1.640501936,0.792732605,54100,259.3014344,0.702682563,0.976118299,0.769471189,0.779660539,0.006297956,0.001435495,0.607870557,0.997212825,BARBUNYA
52836,932.617,321.6612199,209.4603282,1.535666552,0.758920721,53871,259.370169,0.715789474,0.980787437,0.763366576,0.806345785,0.006087918,0.001587573,0.650193526,0.99848045,BARBUNYA
52839,883.529,323.1037414,209.2399353,1.544178175,0.761985858,53489,259.3775324,0.693015935,0.987847969,0.850595021,0.802768582,0.006114872,0.001566494,0.644437396,0.995126163,BARBUNYA
52855,898.174,322.0487976,210.3559782,1.530970502,0.757202286,53855,259.4168,0.706551526,0.981431622,0.823331977,0.805520163,0.006093062,0.001582417,0.648862733,0.993389705,BARBUNYA
52894,918.483,331.6248277,203.507299,1.629547586,0.789564751,53879,259.51249,0.717888165,0.981718295,0.787905315,0.782548435,0.006269611,0.001450325,0.612382053,0.997905697,BARBUNYA
53202,897.65,301.8954431,224.7506292,1.343246264,0.667661348,54102,260.2669596,0.751865461,0.983364755,0.829705086,0.8621096,0.005674513,0.001933563,0.743232962,0.9983449,BARBUNYA
53249,919.923,325.3866286,208.9174205,1.557489212,0.766655211,54195,260.3818974,0.696684635,0.982544515,0.790712066,0.800223102,0.006110662,0.001545654,0.640357014,0.997349141,BARBUNYA
53363,904.64,327.0878319,208.0485855,1.572170419,0.771636833,54318,260.6604723,0.717244624,0.982418351,0.819404845,0.796912777,0.006129487,0.00152492,0.635069973,0.998438227,BARBUNYA
53364,919.64,314.3128688,216.9357311,1.448875513,0.723627793,54228,260.6629146,0.766525898,0.984067272,0.792907515,0.829310348,0.00588998,0.001718549,0.687755653,0.996472325,BARBUNYA
53368,951.913,321.0170573,212.3244295,1.511917672,0.750023064,54618,260.6726837,0.706383767,0.977113772,0.740110006,0.812021286,0.00601516,0.001613231,0.659378569,0.996926111,BARBUNYA
53524,919.534,324.5638455,210.5158395,1.541754988,0.761119659,54727,261.0533918,0.789090373,0.978018163,0.795468235,0.804320615,0.006063894,0.001565482,0.646931652,0.997410101,BARBUNYA
53525,959.13,319.9928691,213.4049615,1.499463118,0.745142424,54660,261.0558305,0.782872605,0.979235273,0.731158595,0.81581765,0.005978381,0.001633563,0.665558438,0.997980331,BARBUNYA
53552,937.555,336.4962468,203.6038358,1.65270092,0.79617216,54684,261.1216653,0.689214929,0.979299247,0.765582593,0.776001717,0.006283542,0.001405513,0.602178665,0.995221234,BARBUNYA
53755,929.598,325.297157,210.939448,1.542135244,0.761255922,54945,261.6161152,0.719111194,0.978341978,0.781696863,0.804237324,0.006051477,0.00156163,0.646797674,0.997449489,BARBUNYA
53874,913.878,326.2558272,210.6497576,1.548807038,0.763626518,54878,261.9055311,0.736587367,0.981704873,0.810611276,0.802761236,0.006055905,0.001551331,0.644425602,0.998090908,BARBUNYA
54113,872.821,327.6299219,210.7828409,1.554348165,0.765566725,54651,262.485831,0.717755199,0.990155715,0.892608673,0.801165625,0.006054551,0.001538689,0.641866358,0.997683796,BARBUNYA
54187,931.202,353.7848501,195.5619723,1.809067714,0.833333262,55164,262.6652455,0.769133595,0.982289174,0.785266682,0.742443452,0.006528962,0.001223707,0.55122228,0.99719843,BARBUNYA
54230,940.76,337.9805201,204.9073227,1.649431146,0.795259167,55277,262.7694436,0.788673812,0.98105903,0.770001873,0.777469197,0.006232353,0.001404639,0.604458353,0.997012433,BARBUNYA
54358,923.33,326.4177656,214.2647816,1.523431724,0.754401954,55744,263.0793705,0.714043638,0.975136338,0.80123413,0.805959106,0.006004963,0.001562939,0.64957008,0.989575667,BARBUNYA
54424,899.296,324.8266146,213.682777,1.52013475,0.753160837,55211,263.2390339,0.74840484,0.985745594,0.845658461,0.810398601,0.005968444,0.001587946,0.656745892,0.998342252,BARBUNYA
54440,1027.543,334.1376839,209.8596803,1.592195716,0.778162098,55695,263.2777256,0.728489228,0.977466559,0.647929824,0.787931857,0.006137724,0.00145929,0.620836611,0.988493392,BARBUNYA
54522,897.406,340.0239169,204.4497627,1.6631172,0.799037995,55225,263.4759315,0.690492775,0.987270258,0.850753422,0.774874703,0.006236453,0.001386894,0.600430805,0.998586799,BARBUNYA
54543,974.042,335.9046656,207.4933402,1.618869624,0.786402071,55730,263.5266675,0.671158035,0.978700879,0.72242625,0.784528155,0.006158529,0.0014391,0.615484426,0.996389041,BARBUNYA
54614,925.529,339.9522929,205.3706038,1.655311357,0.796896426,55585,263.6981314,0.769753347,0.982531258,0.801186804,0.775691581,0.006224636,0.001390113,0.601697428,0.995996586,BARBUNYA
54631,893.756,303.9114567,229.3542891,1.325074224,0.656099146,55557,263.7391696,0.756243079,0.983332433,0.859431116,0.867815819,0.005562985,0.001946247,0.753104295,0.99791909,BARBUNYA
54677,911.022,308.8539034,226.3985709,1.364204298,0.680198424,55858,263.8501821,0.753012629,0.978857102,0.827859835,0.854287996,0.005648699,0.001855861,0.729807979,0.995607182,BARBUNYA
54692,881.807,330.7268466,211.9992114,1.560038098,0.767532538,55278,263.8863717,0.678224206,0.989399038,0.88386632,0.797898249,0.006047079,0.001511874,0.636641616,0.993185175,BARBUNYA
55059,944.732,344.3276911,204.9475016,1.680077524,0.803569728,55970,264.7702704,0.732859482,0.983723423,0.775212793,0.768948526,0.006253795,0.001348691,0.591281835,0.993399322,BARBUNYA
55100,948.328,300.645957,235.3802983,1.277277492,0.622128398,56772,264.8688334,0.78745784,0.970548862,0.769917721,0.880999153,0.005456369,0.002027615,0.776159507,0.991371068,BARBUNYA
55327,885.816,325.3403835,217.2530013,1.497518476,0.744366419,55918,265.4138736,0.793013989,0.989430952,0.8860535,0.815803654,0.005880319,0.001606657,0.665535602,0.99665186,BARBUNYA
55377,921.337,322.9626948,219.5998638,1.470687136,0.733254519,56515,265.5337761,0.714025994,0.979863753,0.819789335,0.822180953,0.005832073,0.001643888,0.675981519,0.994157324,BARBUNYA
55387,883.864,328.4568228,215.2324142,1.526056492,0.755382833,55945,265.5577501,0.80264035,0.990025918,0.890936632,0.808501245,0.005930215,0.00156305,0.653674263,0.997543852,BARBUNYA
55429,911.762,327.8248583,215.9097795,1.51834187,0.752481661,56253,265.6584174,0.728763197,0.985351892,0.837884066,0.81036691,0.00591432,0.001573299,0.656694528,0.997086798,BARBUNYA
55434,925.422,330.5917574,213.7725739,1.546464785,0.762798609,56460,265.670399,0.718876439,0.981827843,0.813404259,0.803620759,0.0059637,0.001534264,0.645806325,0.998716739,BARBUNYA
55596,947.733,314.7614494,225.636432,1.394993914,0.697228444,56806,266.0583126,0.770262407,0.978699433,0.777824116,0.84526969,0.005661584,0.001782785,0.714480848,0.996696435,BARBUNYA
55607,898.497,311.4197591,228.7198652,1.361577224,0.678671061,56424,266.084632,0.75650636,0.985520346,0.865577715,0.854424371,0.00560037,0.001841158,0.730041006,0.994007207,BARBUNYA
55619,932.404,311.9240325,228.3157107,1.366196095,0.681348308,56806,266.113341,0.744564926,0.97910432,0.803942123,0.853135101,0.005608228,0.001832638,0.727839501,0.994371484,BARBUNYA
55643,949.05,347.702205,205.5808526,1.691316096,0.80648428,56777,266.1707497,0.799135418,0.980027124,0.776322573,0.765513551,0.006248804,0.001323696,0.586010997,0.991129831,BARBUNYA
55660,936.905,325.913361,217.9664207,1.495245736,0.743454614,56773,266.2114067,0.705449937,0.980395611,0.796823168,0.816816487,0.005855432,0.001607817,0.667189174,0.997611767,BARBUNYA
55676,934.071,333.10278,215.6228608,1.544839813,0.762221491,57508,266.2496665,0.799356793,0.968143563,0.801896121,0.799301845,0.005982879,0.001506376,0.638883439,0.986972572,BARBUNYA
55699,948.396,317.4639035,223.7711015,1.418699293,0.709335508,56924,266.3046552,0.736759259,0.978480079,0.778176004,0.838850188,0.005699634,0.001740862,0.703669638,0.998295618,BARBUNYA
55721,916.614,342.8912926,207.1948899,1.654921571,0.796788539,56533,266.3572426,0.79728995,0.985636708,0.833404409,0.776797919,0.006153717,0.001382132,0.603415007,0.998604511,BARBUNYA
55773,968.988,347.9202426,204.4911912,1.701394767,0.809040374,57047,266.4814987,0.765376698,0.977667537,0.746443726,0.765926974,0.006238148,0.001324296,0.58664413,0.998113252,BARBUNYA
55796,900.322,330.2017687,215.5174973,1.532134388,0.757630026,56573,266.5364396,0.770131125,0.986265533,0.865002185,0.807192647,0.005918019,0.001549762,0.651559969,0.998277434,BARBUNYA
55805,934.264,333.9240433,213.1978428,1.566263706,0.769653272,56596,266.5579352,0.70937357,0.986023747,0.803422051,0.798259186,0.005983766,0.001498753,0.637217729,0.998051001,BARBUNYA
55912,901.128,348.3959104,204.7541728,1.701532651,0.809074973,56502,266.8133607,0.771157453,0.989557892,0.865250627,0.765833791,0.006231147,0.001322166,0.586501395,0.997951273,BARBUNYA
56155,934.742,344.514406,208.1900925,1.654806921,0.796756789,57050,267.3925329,0.770016592,0.984312007,0.80763435,0.776143256,0.006135062,0.001373303,0.602398354,0.996852966,BARBUNYA
56235,1023.117,321.7252343,223.7695959,1.437752224,0.718496924,57765,267.5829326,0.746971468,0.973513373,0.675096664,0.831712604,0.005721085,0.001688695,0.691745856,0.994559144,BARBUNYA
56247,944.16,325.14083,221.0555229,1.470855944,0.733326876,57246,267.6114808,0.776356108,0.982548999,0.792899298,0.823063289,0.00578059,0.001636383,0.677433177,0.996406616,BARBUNYA
56248,925.453,330.3764438,218.0510188,1.515133686,0.751258776,57157,267.6138597,0.825295283,0.984096436,0.825293099,0.810027061,0.005873568,0.001559839,0.656143839,0.994145633,BARBUNYA
56277,944.618,335.3126339,213.9215297,1.567456227,0.770055958,57408,267.6828382,0.698243133,0.980298913,0.792553099,0.798308239,0.005958254,0.00149273,0.637296044,0.998933653,BARBUNYA
56322,911.589,326.8366101,219.9702012,1.485822208,0.739616972,57129,267.7898386,0.735802469,0.985874074,0.851706144,0.819338563,0.005803001,0.001613192,0.671315681,0.997455748,BARBUNYA
56385,908.18,319.6881974,224.8440507,1.421821909,0.710870458,57282,267.9395673,0.735789226,0.984340631,0.859072034,0.838127805,0.005669738,0.001725773,0.702458218,0.998770485,BARBUNYA
56430,946.46,330.9432846,217.743578,1.519876212,0.753063084,57314,268.0464652,0.716571429,0.984576194,0.791617499,0.809946833,0.005864669,0.001556859,0.656013872,0.997059879,BARBUNYA
56506,911.91,311.9078336,231.3239233,1.348359604,0.670795996,57392,268.2269071,0.749476086,0.984562308,0.85388714,0.859955661,0.005519906,0.001862155,0.739523739,0.997143935,BARBUNYA
56521,936.644,346.8323709,208.2229249,1.665678124,0.799732811,57353,268.2625063,0.81489331,0.985493348,0.809600169,0.773464442,0.006136345,0.001354724,0.598247243,0.996487346,BARBUNYA
56545,975.553,339.5660561,212.5891557,1.597287759,0.77977387,57685,268.3194552,0.792024428,0.980237497,0.746624668,0.790183384,0.006005236,0.00144418,0.62438978,0.997330152,BARBUNYA
56546,951.015,315.4936373,229.1241617,1.376954901,0.687441033,57830,268.3218278,0.768225416,0.977796991,0.785664299,0.850482533,0.005579416,0.001800653,0.723320539,0.995979761,BARBUNYA
56567,915.89,326.4419563,220.9832273,1.477225038,0.736033669,57388,268.3716478,0.72307653,0.985693873,0.847395935,0.822111382,0.00577089,0.001626092,0.675867124,0.998407838,BARBUNYA
56644,961.412,343.1227678,210.5020018,1.630021401,0.78970336,57622,268.5542418,0.79567355,0.983027316,0.770095705,0.782676835,0.006057531,0.001402185,0.612583027,0.998523444,BARBUNYA
56724,929.168,347.0655985,209.2032796,1.65898737,0.79790944,57657,268.7438184,0.733237678,0.983818097,0.825635244,0.77433148,0.006118497,0.001356851,0.59958924,0.994710977,BARBUNYA
56778,908.906,315.9444788,229.5528208,1.376347621,0.687102354,57545,268.8717071,0.759226573,0.986671301,0.863678311,0.851009355,0.005564558,0.001800312,0.724216922,0.996774238,BARBUNYA
56823,948.496,313.2609837,231.2833806,1.354446579,0.674462696,57838,268.9782345,0.766035752,0.982450984,0.793712126,0.858639437,0.005512926,0.001848439,0.737261682,0.998581563,BARBUNYA
56857,952.885,328.1323757,221.256783,1.483038717,0.738465529,57866,269.058694,0.794047819,0.982563163,0.786887822,0.819969969,0.005771187,0.001609299,0.67235075,0.997122194,BARBUNYA
56893,938.275,339.6134553,214.159517,1.5857967,0.776109749,58014,269.1438601,0.716419226,0.980677078,0.812097941,0.792500579,0.005969336,0.00145246,0.628057168,0.995970985,BARBUNYA
56928,935.66,324.0394421,224.1507189,1.445631955,0.722147602,57936,269.2266346,0.77012987,0.982601491,0.817146008,0.83084526,0.005692093,0.00167314,0.690303847,0.9979253,BARBUNYA
56970,998.315,322.6941698,225.9358759,1.428255555,0.713991063,58070,269.3259305,0.777991724,0.981057345,0.718324849,0.834616661,0.005664282,0.001695403,0.696584971,0.994901354,BARBUNYA
56988,902.722,345.5850376,211.0016028,1.637831338,0.791967321,57852,269.3684747,0.757718389,0.985065339,0.878790243,0.779456416,0.006064172,0.001380761,0.607552304,0.995068203,BARBUNYA
57103,919.308,354.5460499,205.552263,1.724846249,0.814786004,57779,269.6401263,0.676639966,0.988300247,0.849076284,0.760522156,0.006208887,0.001281271,0.57839395,0.997640635,BARBUNYA
57105,953.054,346.2734018,210.2189885,1.647203254,0.794633369,58126,269.6448483,0.696062896,0.982434711,0.790039823,0.778705055,0.006063802,0.001375361,0.606381562,0.998833682,BARBUNYA
57132,914.731,335.2396035,217.507884,1.541275641,0.760947709,57887,269.7085866,0.71932917,0.986957348,0.858030047,0.804524835,0.005867808,0.001516399,0.64726021,0.997606395,BARBUNYA
57187,898.194,326.1756939,224.4836173,1.453004445,0.725493384,57817,269.8383773,0.691917725,0.989103551,0.89077266,0.827279231,0.005703669,0.001647944,0.684390926,0.994423058,BARBUNYA
57200,956.741,352.786447,206.9037954,1.705074798,0.809960425,58277,269.8690459,0.737893134,0.981519296,0.785266593,0.764964324,0.006167595,0.001302748,0.585170417,0.99775933,BARBUNYA
57208,929.814,345.440275,212.4109238,1.626283003,0.788605771,58161,269.8879172,0.799787499,0.98361445,0.831523384,0.781286772,0.006038321,0.001387835,0.61040902,0.992697813,BARBUNYA
57271,990.081,355.8043692,206.0400353,1.726870065,0.815269045,58861,270.0364827,0.669640456,0.972987207,0.734181062,0.758946506,0.006212645,0.001271455,0.575999798,0.994676809,BARBUNYA
57343,1021.149,341.5122062,215.6461334,1.583669509,0.775420767,58908,270.2061717,0.675290876,0.97343315,0.691054089,0.791205019,0.005955604,0.001439666,0.626005383,0.991385637,BARBUNYA
57351,952.862,329.4250151,222.7448097,1.478934641,0.736752608,58282,270.2250194,0.724256813,0.984025943,0.793762986,0.820292956,0.005744015,0.001604247,0.672880534,0.995146331,BARBUNYA
